user,bot,intent,lang,clean_text
I want to open a new account,You can open a new account by visiting our nearest branch with valid ID proof and address proof. Our team will guide you through the process.,account_opening,English,i want to open a new account
How do I check my account balance,You can check your account balance through our mobile app internet banking or by visiting an ATM. You can also call our customer service.,balance_inquiry,English,how do i check my account balance
I lost my debit card,Please report your lost debit card immediately by calling our 24/7 helpline. We will block your card and issue a new one within 3-5 business days.,card_services,English,i lost my debit card
What are the loan interest rates,Our loan interest rates vary based on the type of loan. Personal loans start from 10.5% and home loans from 8.5%. Please visit our branch for detailed information.,loan_inquiry,English,what are the loan interest rates
How can I update my KYC details,You can update your KYC details by visiting our branch with updated documents or through our online portal with digital document upload.,kyc_update,English,how can i update my kyc details
What is the minimum balance required,The minimum balance requirement varies by account type. Savings accounts require Rs.1000 and current accounts require Rs.5000 minimum balance.,account_info,English,what is the minimum balance required
How do I apply for a credit card,You can apply for a credit card online through our website or mobile app. You can also visit our branch with income proof and ID documents.,credit_card,English,how do i apply for a credit card
What are your branch timings,Our branches are open Monday to Friday from 10 AM to 4 PM and Saturday from 10 AM to 2 PM. We are closed on Sundays and public holidays.,branch_info,English,what are your branch timings
How do I transfer money online,You can transfer money through our internet banking or mobile app using NEFT RTGS or IMPS. You need to add beneficiary details first.,money_transfer,English,how do i transfer money online
What is the FD interest rate,Our Fixed Deposit interest rates range from 5.5% to 7.2% depending on the tenure and amount. Senior citizens get additional 0.5% interest.,fd_rates,English,what is the fd interest rate
I want to close my account,To close your account please visit our branch with your passbook debit card and ID proof. Clear all pending dues before account closure.,account_closure,English,i want to close my account
How do I activate internet banking,You can activate internet banking by visiting our branch or through our mobile app. You will need your account number and registered mobile number.,internet_banking,English,how do i activate internet banking
What documents are needed for loan,For loans you need income proof ID proof address proof bank statements and property documents for secured loans.,loan_documents,English,what documents are needed for loan
How do I report fraudulent transaction,Report fraudulent transactions immediately by calling our fraud helpline. We will investigate and reverse unauthorized transactions if verified.,fraud_report,English,how do i report fraudulent transaction
What are the charges for ATM withdrawal,ATM withdrawals are free for first 5 transactions per month. Beyond that Rs.20 is charged for same bank ATMs and Rs.25 for other bank ATMs.,atm_charges,English,what are the charges for atm withdrawal
How can I get a loan statement,You can download loan statements from internet banking mobile app or request them at our branch. Email delivery is also available.,loan_statement,English,how can i get a loan statement
What is the process for home loan,For home loans submit application with documents. After verification and property evaluation we will approve and disburse the loan amount.,home_loan,English,what is the process for home loan
How do I change my mobile number,To change your registered mobile number visit our branch with ID proof and fill the mobile number change form.,mobile_update,English,how do i change my mobile number
What are the tax benefits on FD,Fixed Deposits under Rs.1.5 lakhs qualify for tax deduction under Section 80C. Tax is deducted on interest earned above Rs.10000.,tax_benefits,English,what are the tax benefits on fd
How do I get a duplicate passbook,For duplicate passbook visit our branch with ID proof and pay the applicable charges. New passbook will be issued immediately.,duplicate_passbook,English,how do i get a duplicate passbook
எனக்கு ஒரு புதிய கணக்கு திறக்க வேண்டும்,நீங்கள் செல்லுபடியாகும் அடையாள ஆதாரம் மற்றும் முகவரி ஆதாரத்துடன் எங்கள் அருகிலுள்ள கிளைக்குச் சென்று புதிய கணக்கைத் திறக்கலாம்.,account_opening,Tamil,எனக்கு ஒரு புதிய கணக்கு திறக்க வேண்டும்
என் கணக்கு இருப்பு எப்படி பார்க்கிறது,நீங்கள் எங்கள் மொபைல் ஆப் இணைய வங்கி அல்லது ஏடிஎம் மூலம் உங்கள் கணக்கு இருப்பைப் பார்க்கலாம்.,balance_inquiry,Tamil,என் கணக்கு இருப்பு எப்படி பார்க்கிறது
என் டெபிட் கார்டு தொலைந்துவிட்டது,உங்கள் தொலைந்த டெபிட் கார்டை உடனடியாக எங்கள் 24/7 உதவி எண்ணில் தெரிவிக்கவும். நாங்கள் உங்கள் கார்டைத் தடுத்து 3-5 வணிக நாட்களில் புதியதை வழங்குவோம்.,card_services,Tamil,என் டெபிட் கார்டு தொலைந்துவிட்டது
கடன் வட்டி விகிதங்கள் என்ன,எங்கள் கடன் வட்டி விகிதங்கள் கடன் வகையைப் பொறுத்து மாறுபடும். தனிநபர் கடன்கள் 10.5% முதல் வீட்டுக் கடன்கள் 8.5% முதல் தொடங்குகின்றன.,loan_inquiry,Tamil,கடன் வட்டி விகிதங்கள் என்ன
என் KYC விவரங்களை எப்படி புதுப்பிக்கிறது,புதுப்பிக்கப்பட்ட ஆவணங்களுடன் எங்கள் கிளைக்குச் சென்று அல்லது எங்கள் ஆன்லைன் போர்ட்டல் மூலம் உங்கள் KYC விவரங்களைப் புதுப்பிக்கலாம்.,kyc_update,Tamil,என் kyc விவரங்களை எப்படி புதுப்பிக்கிறது
குறைந்தபட்ச இருப்பு எவ்வளவு,குறைந்தபட்ச இருப்புத் தேவை கணக்கு வகையைப் பொறுத்து மாறுபடும். சேமிப்புக் கணக்குகளுக்கு ரூ.1000 மற்றும் நடப்புக் கணக்குகளுக்கு ரூ.5000 தேவை.,account_info,Tamil,குறைந்தபட்ச இருப்பு எவ்வளவு
கிரெடிட் கார்டுக்கு எப்படி விண்ணப்பிக்கிறது,நீங்கள் எங்கள் வலைத்தளம் அல்லது மொபைல் ஆப் மூலம் ஆன்லைனில் கிரெடிட் கார்டுக்கு விண்ணப்பிக்கலாம்.,credit_card,Tamil,கிரெடிட் கார்டுக்கு எப்படி விண்ணப்பிக்கிறது
உங்கள் கிளை நேரங்கள் என்ன,எங்கள் கிளைகள் திங்கள் முதல் வெள்ளி வரை காலை 10 மணி முதல் மாலை 4 மணி வரையும் சனிக்கிழமை காலை 10 மணி முதல் மதியம் 2 மணி வரையும் திறந்திருக்கும்.,branch_info,Tamil,உங்கள் கிளை நேரங்கள் என்ன
ஆன்லைனில் பணம் எப்படி அனுப்புவது,நீங்கள் எங்கள் இணைய வங்கி அல்லது மொபைல் ஆப் மூலம் NEFT RTGS அல்லது IMPS பயன்படுத்தி பணம் அனுப்பலாம்.,money_transfer,Tamil,ஆன்லைனில் பணம் எப்படி அனுப்புவது
FD வட்டி விகிதம் என்ன,எங்கள் நிலையான வைப்பு வட்டி விகிதங்கள் காலம் மற்றும் தொகையைப் பொறுத்து 5.5% முதல் 7.2% வரை உள்ளது.,fd_rates,Tamil,fd வட்டி விகிதம் என்ன
என் கணக்கை மூட வேண்டும்,உங்கள் கணக்கை மூட உங்கள் பாஸ்புக் டெபிட் கார்டு மற்றும் அடையாள ஆதாரத்துடன் எங்கள் கிளைக்குச் செல்லவும்.,account_closure,Tamil,என் கணக்கை மூட வேண்டும்
இணைய வங்கியை எப்படி செயல்படுத்துவது,நீங்கள் எங்கள் கிளைக்குச் சென்று அல்லது எங்கள் மொபைல் ஆப் மூலம் இணைய வங்கியைச் செயல்படுத்தலாம்.,internet_banking,Tamil,இணைய வங்கியை எப்படி செயல்படுத்துவது
கடனுக்கு என்ன ஆவணங்கள் தேவை,கடன்களுக்கு வருமான ஆதாரம் அடையாள ஆதாரம் முகவரி ஆதாரம் வங்கி அறிக்கைகள் மற்றும் பாதுகாக்கப்பட்ட கடன்களுக்கு சொத்து ஆவணங்கள் தேவை.,loan_documents,Tamil,கடனுக்கு என்ன ஆவணங்கள் தேவை
மோசடி பரிவர்த்தனையை எப்படி புகாரளிப்பது,மோசடி பரிவர்த்தனைகளை உடனடியாக எங்கள் மோசடி உதவி எண்ணில் புகாரளிக்கவும். நாங்கள் விசாரித்து சரிபார்க்கப்பட்டால் அங்கீகரிக்கப்படாத பரிவர்த்தனைகளை மாற்றுவோம்.,fraud_report,Tamil,மோசடி பரிவர்த்தனையை எப்படி புகாரளிப்பது
ATM திரும்பப் பெறுவதற்கான கட்டணங்கள் என்ன,மாதத்திற்கு முதல் 5 பரிவர்த்தனைகளுக்கு ATM திரும்பப் பெறுதல் இலவசம். அதற்கு மேல் அதே வங்கி ATMகளுக்கு ரூ.20 மற்றும் பிற வங்கி ATMகளுக்கு ரூ.25 வசூலிக்கப்படும்.,atm_charges,Tamil,atm திரும்பப் பெறுவதற்கான கட்டணங்கள் என்ன
கடன் அறிக்கையை எப்படி பெறுவது,நீங்கள் இணைய வங்கி மொபைல் ஆப்பில் இருந்து கடன் அறிக்கைகளைப் பதிவிறக்கலாம் அல்லது எங்கள் கிளையில் கோரலாம்.,loan_statement,Tamil,கடன் அறிக்கையை எப்படி பெறுவது
வீட்டுக் கடனுக்கான செயல்முறை என்ன,வீட்டுக் கடனுக்கு ஆவணங்களுடன் விண்ணப்பத்தைச் சமர்ப்பிக்கவும். சரிபார்ப்பு மற்றும் சொத்து மதிப்பீட்டிற்குப் பிறகு நாங்கள் கடன் தொகையை அங்கீகரித்து வழங்குவோம்.,home_loan,Tamil,வீட்டுக் கடனுக்கான செயல்முறை என்ன
என் மொபைல் எண்ணை எப்படி மாற்றுவது,பதிவு செய்யப்பட்ட மொபைல் எண்ணை மாற்ற அடையாள ஆதாரத்துடன் எங்கள் கிளைக்குச் சென்று மொபைல் எண் மாற்றம் படிவத்தை நிரப்பவும்.,mobile_update,Tamil,என் மொபைல் எண்ணை எப்படி மாற்றுவது
FDயில் வரி சலுகைகள் என்ன,ரூ.1.5 லட்சத்திற்கு உட்பட்ட நிலையான வைப்புகள் பிரிவு 80C கீழ் வரி விலக்குக்கு தகுதியுடையவை.,tax_benefits,Tamil,fdயில் வரி சலுகைகள் என்ன
